source;target;pmid
A02.835.232.087.090.700;A02.835.232.087.090.700;35100910
A02.835.232.043.650.321;A02;35094576
A02.835.232.043.650.321;A02.835;35094576
A02.835.232.043.650.321;A02.835.232;35094576
A02.835.232.043.650.321;A02.835.232.043;35094576
A02.835.232.043.650.321;A02.835.232.043.650;35094576
A02.835.232.043.650.321;A02.835.232.043.650.321;35094576
A02.835.232;A02;35044666
A02.835.232;A02.835;35044666
A02.835.232;A02.835.232;35044666
A10.165.265;A10;35044666
A10.165.265;A10.165;35044666
A10.165.265;A10.165.265;35044666
A11.500;A11;35044666
A11.500;A11.500;35044666
A10.615.284.147;A10;35033148
A10.615.284.147;A10.615;35033148
A10.615.284.147;A10.615.284;35033148
A10.615.284.147;A10.615.284.147;35033148
A16.254.750.147;A16;35033148
A16.254.750.147;A16.254;35033148
A16.254.750.147;A16.254.750;35033148
A16.254.750.147;A16.254.750.147;35033148
A13.350.150;A13;35033148
A13.350.150;A13.350;35033148
A13.350.150;A13.350.150;35033148
A16.331.200;A16;35033148
A16.331.200;A16.331;35033148
A16.331.200;A16.331.200;35033148
A02.835.232.087.090.700;A02;35001731
A02.835.232.087.090.700;A02.835;35001731
A02.835.232.087.090.700;A02.835.232;35001731
A02.835.232.087.090.700;A02.835.232.087;35001731
A02.835.232.087.090.700;A02.835.232.087.090;35001731
A02.835.232.087.090.700;A02.835.232.087.090.700;35001731
A02.835.583.405.930;A02;35001731
A02.835.583.405.930;A02.835;35001731
A02.835.583.405.930;A02.835.583;35001731
A02.835.583.405.930;A02.835.583.405;35001731
A02.835.583.405.930;A02.835.583.405.930;35001731
A02.835.232.834.717;A02;34961753
A02.835.232.834.717;A02.835;34961753
A02.835.232.834.717;A02.835.232;34961753
A02.835.232.834.717;A02.835.232.834;34961753
A02.835.232.834.717;A02.835.232.834.717;34961753
A02.835.232.043.650.321;A02;34959005
A02.835.232.043.650.321;A02.835;34959005
A02.835.232.043.650.321;A02.835.232;34959005
A02.835.232.043.650.321;A02.835.232.043;34959005
A02.835.232.043.650.321;A02.835.232.043.650;34959005
A02.835.232.043.650.321;A02.835.232.043.650.321;34959005
A02.835.232.087.090.700;A02;34959005
A02.835.232.087.090.700;A02.835;34959005
A02.835.232.087.090.700;A02.835.232;34959005
A02.835.232.087.090.700;A02.835.232.087;34959005
