source;target;pmid
A11.251.860.180;A11.251.860.180;36153605
A11.148;A11;36153321
A11.148;A11.148;36153321
A15.378.316;A15;36153321
A15.378.316;A15.378;36153321
A15.378.316;A15.378.316;36153321
A11.251;A11;36153321
A11.251;A11.251;36153321
A11.251.210.190;A11;36153320
A11.251.210.190;A11.251;36153320
A11.251.210.190;A11.251.210;36153320
A11.251.210.190;A11.251.210.190;36153320
A11.251.860.180;A11;36153320
A11.251.860.180;A11.251;36153320
A11.251.860.180;A11.251.860;36153320
A11.251.860.180;A11.251.860.180;36153320
A11.872.650;A11;36153320
A11.872.650;A11.872;36153320
A11.872.650;A11.872.650;36153320
A11.251.210;A11;36152784
A11.251.210;A11.251;36152784
A11.251.210;A11.251.210;36152784
A04.531.621.578;A04;36143818
A04.531.621.578;A04.531;36143818
A04.531.621.578;A04.531.621;36143818
A04.531.621.578;A04.531.621.578;36143818
A11.251.210.190;A11;36142445
A11.251.210.190;A11.251;36142445
A11.251.210.190;A11.251.210;36142445
A11.251.210.190;A11.251.210.190;36142445
A11.251.860.180;A11;36142445
A11.251.860.180;A11.251;36142445
A11.251.860.180;A11.251.860;36142445
A11.251.860.180;A11.251.860.180;36142445
A11.251.210.190;A11;36126191
A11.251.210.190;A11.251;36126191
A11.251.210.190;A11.251.210;36126191
A11.251.210.190;A11.251.210.190;36126191
A11.251.860.180;A11;36126191
A11.251.860.180;A11.251;36126191
A11.251.860.180;A11.251.860;36126191
A11.251.860.180;A11.251.860.180;36126191
A11.251.210.190;A11;36125961
A11.251.210.190;A11.251;36125961
A11.251.210.190;A11.251.210;36125961
A11.251.210.190;A11.251.210.190;36125961
A11.251.860.180;A11;36125961
A11.251.860.180;A11.251;36125961
A11.251.860.180;A11.251.860;36125961
A11.251.860.180;A11.251.860.180;36125961
A11.251.210.190;A11;36124657
A11.251.210.190;A11.251;36124657
A11.251.210.190;A11.251.210;36124657
A11.251.210.190;A11.251.210.190;36124657
A11.251.860.180;A11;36124657
A11.251.860.180;A11.251;36124657
A11.251.860.180;A11.251.860;36124657
A11.251.860.180;A11.251.860.180;36124657
A11.284.430.106.279.345.190.160.180;A11;36124657
A11.284.430.106.279.345.190.160.180;A11.284;36124657
A11.284.430.106.279.345.190.160.180;A11.284.430;36124657
A11.284.430.106.279.345.190.160.180;A11.284.430.106;36124657
A11.284.430.106.279.345.190.160.180;A11.284.430.106.279;36124657
A11.284.430.106.279.345.190.160.180;A11.284.430.106.279.345;36124657
A11.284.430.106.279.345.190.160.180;A11.284.430.106.279.345.190;36124657
A11.284.430.106.279.345.190.160.180;A11.284.430.106.279.345.190.160;36124657
A11.284.430.106.279.345.190.160.180;A11.284.430.106.279.345.190.160.180;36124657
A11.284.295.588.750;A11;36115123
A11.284.295.588.750;A11.284;36115123
A11.284.295.588.750;A11.284.295;36115123
A11.284.295.588.750;A11.284.295.588;36115123
A11.284.295.588.750;A11.284.295.588.750;36115123
A11.284.430.214.190.875.190.880.495;A11;36115123
A11.284.430.214.190.875.190.880.495;A11.284;36115123
A11.284.430.214.190.875.190.880.495;A11.284.430;36115123
A11.284.430.214.190.875.190.880.495;A11.284.430.214;36115123
A11.284.430.214.190.875.190.880.495;A11.284.430.214.190;36115123
A11.284.430.214.190.875.190.880.495;A11.284.430.214.190.875;36115123
A11.284.430.214.190.875.190.880.495;A11.284.430.214.190.875.190;36115123
A11.284.430.214.190.875.190.880.495;A11.284.430.214.190.875.190.880;36115123
A11.284.430.214.190.875.190.880.495;A11.284.430.214.190.875.190.880.495;36115123
A02.835.232;A02;36114431
A02.835.232;A02.835;36114431
A02.835.232;A02.835.232;36114431
A10.165.265;A10;36114431
A10.165.265;A10.165;36114431
A10.165.265;A10.165.265;36114431
A02.835.232.043.650.883;A02;36111473
A02.835.232.043.650.883;A02.835;36111473
A02.835.232.043.650.883;A02.835.232;36111473
A02.835.232.043.650.883;A02.835.232.043;36111473
A02.835.232.043.650.883;A02.835.232.043.650;36111473
A02.835.232.043.650.883;A02.835.232.043.650.883;36111473
A11.251.210.190;A11;36102872
A11.251.210.190;A11.251;36102872
A11.251.210.190;A11.251.210;36102872
A11.251.210.190;A11.251.210.190;36102872
A11.251.860.180;A11;36102872
A11.251.860.180;A11.251;36102872
A11.251.860.180;A11.251.860;36102872
A11.251.860.180;A11.251.860.180;36102872
A01.378.100;A01;36099516
A01.378.100;A01.378;36099516
A01.378.100;A01.378.100;36099516
A11.251.210;A11;36099278
A11.251.210;A11.251;36099278
A11.251.210;A11.251.210;36099278
A02.835.232.834.803.350;A02;36084959
A02.835.232.834.803.350;A02.835;36084959
A02.835.232.834.803.350;A02.835.232;36084959
A02.835.232.834.803.350;A02.835.232.834;36084959
A02.835.232.834.803.350;A02.835.232.834.803;36084959
A02.835.232.834.803.350;A02.835.232.834.803.350;36084959
A11.251.210.190;A11;36080409
A11.251.210.190;A11.251;36080409
A11.251.210.190;A11.251.210;36080409
A11.251.210.190;A11.251.210.190;36080409
A11.251.860.180;A11;36080409
A11.251.860.180;A11.251;36080409
A11.251.860.180;A11.251.860;36080409
A11.251.860.180;A11.251.860.180;36080409
A11.251.210.190.400;A11;36080409
A11.251.210.190.400;A11.251;36080409
A11.251.210.190.400;A11.251.210;36080409
A11.251.210.190.400;A11.251.210.190;36080409
A11.251.210.190.400;A11.251.210.190.400;36080409
A11.251.860.180.400;A11;36080409
A11.251.860.180.400;A11.251;36080409
A11.251.860.180.400;A11.251.860;36080409
A11.251.860.180.400;A11.251.860.180;36080409
A11.251.860.180.400;A11.251.860.180.400;36080409
A11.436.340;A11;36080409
A11.436.340;A11.436;36080409
A11.436.340;A11.436.340;36080409
A20.593;A20;36077428
A20.593;A20.593;36077428
A11.251.210.190;A11;36075937
A11.251.210.190;A11.251;36075937
A11.251.210.190;A11.251.210;36075937
A11.251.210.190;A11.251.210.190;36075937
A11.251.860.180;A11;36075937
A11.251.860.180;A11.251;36075937
A11.251.860.180;A11.251.860;36075937
A11.251.860.180;A11.251.860.180;36075937
